mz,time,mz.1,Name,delta_ppm_vec,mode,ESI,F1,F2,F4,P1,P2,P3,P4,F6,F7,P6,P7,FVPTC2,P8,FVPTC3,FVPTC4,FVPTC5,P9,P10,F20,FVPTC6,P12,F12,F13,P13,F10,F18,P18,P20,P14,F19,FVPTC20,FVPTC7,P15,F14,FVPTC14,FVPTC15,F15,FVPTC16,F16,FVPTC17,F17,FVPTC18,FVPTC19,P16,FVPTC8,FVPTC9,FVPTC10,FVPTC11,F11,FVPTC12,FVPTC13,P17,F8,P11,F9,nist_1,nist_2,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6
135.0304466,21.13487654,135.031224,Hypoxanthine,5.757018273,C18,neg,52510035,55023767,110631951,59477781,63907903,49594404,93270526,68098689,17848416,35898011,81002883,34443993,37300328,57418573,52750457,82774739,32298311,68112403,7277830,61925318,86572592,88784433,86974139,54202456,5842850,32455634,94129274,67916872,105810934,110424059,94148545,44340842,45683407,92746176,16651709,22249923,15775574,11569609,70137780,12549044,43214038,5276955,48057501,76636130,18698916,36170451,16352844,9417001,39524450,9123422,12000958,16441957,53931486,67151695,84853533,1433782,661231,2638867,2597363,1952090,2621519,1666965,1534643
136.0403748,58.13176538,136.040424,Methylinicotinic acid,0.361729672,C18,neg,241623,521691,1066725,939272,768708,324235,1321660,983167,1877360,707385,435275,920977,683987,458837,1312367,403085,836344,521394,1235057,398381,826162,361796,278253,1302194,1816484,952461,462872,2547476,491467,798349,790551,313345,1021159,940356,1423726,1386304,1306149,334420,1294186,1173618,121656,345358,606064,664815,1621904,678240,1439755,1570536,609539,316106,1199096,1404806,237950,294266,751562,959879,393359,997370,924121,78811,216046,196901,187225
138.9801799,24.24985609,138.9802,Acetyl phosphate,0.144925658,C18,neg,401239,557902,58889,351875,367544,1092368,703644,778408,850582,380194,1814806,4025201,486023,805214,1045058,529250,466131,480981,482248,852883,715204,182368,440923,148385,546733,261973,187446,1021672,314549,1835639,133231,322233,493571,569960,1268303,873622,2430510,1235858,941455,452580,868420,342899,901089,392495,1177674,1114359,837523,335259,593450,1174745,2238449,1101333,371637,664902,526965,0,20248,0,0,41261,9679,16992,7765
145.0981212,40.6154746,145.098224,Lysine,0.708237821,C18,neg,24724333,93712995,78156483,27212227,10949109,21941321,22765851,28113892,22012206,5150376,37558334,13132388,6849291,16246761,24945752,39383175,14710060,30220558,17293472,61497337,37063380,64124256,52043439,35732189,12012205,40322715,53483004,5866185,92634845,13899807,29226615,13782015,19083155,45787661,5798948,4967436,8008390,1806396,12707670,1632699,17427465,2679507,84840703,73717151,11363817,45044713,5494215,35753807,40065498,7622520,6867925,21444801,28505002,37293028,34475768,2685955,1860777,2720935,2658495,1592871,88366,1559855,1659781
148.0436634,21.51356811,148.043824,Methionine,1.085098099,C18,neg,4142400,18713301,14725266,6056993,2635257,5158432,4818666,5008282,2140507,1032669,8865600,2730230,1238896,3665034,5195170,6593848,2436513,6766207,1871766,13182934,6633700,10721528,10904472,13029611,1855446,5563209,8636402,1160349,15580738,2511010,5900669,3886166,5202438,9922299,1698368,1624197,1495459,445998,3392305,876612,5709661,1058519,13666271,11491564,2112143,6438767,936487,4061653,7067150,1054564,1577514,2698049,5520960,6945064,8644805,375906,184129,428604,460051,290257,502800,436403,535694
151.0260459,235.1169364,151.0262,Xanthine,1.020089613,C18,neg,116835,51260,71834,105556,103946,197537,67418,167535,259258,109425,247210,247767,139369,132499,103448,55021,229657,202920,605636,184036,168192,93372,109048,75598,274344,238288,164233,171514,54013,203064,390754,202514,177647,262721,259596,252071,289476,105293,129142,254561,97229,278615,80474,162228,274584,296480,242899,308231,278255,132550,164080,214300,75190,151031,70840,61151,246794,62502,68340,215701,158335,313963,426306
151.0261618,21.01089354,151.0262,Xanthine,0.252791555,C18,neg,3641554,3101785,1617630,2211677,756264,3130408,5887673,1280678,131732,1715969,2367847,760192,1680464,750027,1375290,2340702,2535192,994006,377014,6834427,4086541,563584,4824952,13315144,137146,1151486,69674482,2806618,3096495,3502024,3940066,768600,4782192,25114298,747331,629135,1059458,259668,881160,972033,782509,54645,1308739,6222315,238052,812196,529134,1024841,897909,447887,221956,458755,958857,1848759,1719461,111282,160964,95561,101885,157929,121899,146346,113653
151.0390788,30.66568432,151.040024,4-hydroxyphenylacetic,6.257808804,C18,neg,339340,4016203,855747,2545119,2937750,1626117,508104,288372,172181,573324,456591,320819,202579,2520421,444553,423742,250617,3366495,404686,3320193,224265,118709,430985,140198,289995,219925,1421753,546227,7655123,1033830,5129540,5945474,284107,2031170,166704,432510,620799,168509,83862,342035,1893343,328197,2665464,620015,649243,1100305,178414,125640,779669,593495,966498,689530,520218,1944171,611131,788320,1843255,515292,198920,285394,152899,438164,415870
151.0625704,18.77455208,151.062624,[13C5]-L-glutamic acid,0.354527874,C18,neg,7379451,5799566,8044849,7885524,6132387,8275742,7262589,8580224,19444311,9076659,9109614,9701788,10444855,8410100,10349413,7080069,11284484,8665581,24349788,6921433,8383304,5836315,3662434,8285234,19854150,14950553,5365988,9211712,6025376,7258710,6783650,8816482,7968354,5076443,16775780,11946022,14376524,17643675,6613722,11421712,5979801,14572311,9115794,6000678,16075325,13680515,15028854,19595376,10816637,18881580,14578054,18244227,10597179,7018728,7590886,1225752,488606,1026060,1055147,1431334,1126419,768306,1305975
152.0716697,19.58379004,152.072724,"[U-13C5, U-15N2]-L-glutamine",6.93310156,C18,neg,136191,239304,82123,59186,72822,106586,89185,96358,29378,65929,99804,43937,23070,52848,64910,50452,32913,33729,41357,53425,88581,45015,22091,74430,33990,44191,47915,37391,69835,19365,112194,26322,51244,75126,60041,44025,33461,14710,86725,49174,28310,26409,99143,131082,54561,136794,24736,32207,59308,32761,37677,42859,37224,68744,27251,22774,44267,27801,31654,11280,18098,12528,22514
