"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Sialic acid metabolism","107","32","22","30.109","0.42656","0.52772","0.024635","0","0","1","1","1","P65","EC0001448;EC0001449;EC000176;EC000177;EC000178;EC0001269;EC0001272;EC0001274;EC0001470;EC000394;EC00086;EC000106;EC0001033;EC000108;EC000109;EC000112;EC000909;EC00076;EC00079;EC000311;EC000312;EC000247;EC000248;EC000249;EC000167;EC00061;EC00062;EC00063;EC0001212"
"TCA cycle","31","22","17","21.578","0.42851","0.54847","0.024796","32","0.32","1","1","1","P66","EC000197;EC00036;EC0001256;EC000801;EC000430;EC000431;EC000433;EC000434;EC00024;EC000560;EC000213;EC00022;EC00042;EC00086;EC000284;EC000285;EC000286;EC00041;EC00047;EC000444;EC0001258"
"Vitamin B12 (cyanocobalamin) metabolism","9","2","2","1.5055","0.44521","0.84529","0.026225","0","0","1","1","1","P67","EC00032;EC00026"
"Fatty Acid Metabolism","63","19","11","18.567","0.45179","0.58119","0.026813","0","0","1","1","1","P68","EC0001013;EC0001014;EC0002067;EC000344;EC0001029;EC0001030;EC00022;EC0001493;EC0001494;EC000289;EC000890;EC000891;EC000892;EC000893;EC000878;EC000238;EC0002061;EC0002062"
"Sphingolipid metabolism","3","1","1","0.50182","0.46343","1","0.027891","0","0","1","1","1","P69","EC0001033"
"Vitamin K metabolism","3","1","1","0.50182","0.46343","1","0.027891","0","0","1","1","1","P70","EC0001416"
"Trihydroxycoprostanoyl-CoA beta-oxidation","9","1","1","0.50182","0.46343","1","0.027891","0","0","1","1","1","P71","EC00022"
"D4&E4-neuroprostanes formation","37","26","26","6.0219","0.51116","0.72737","0.032862","0","0","1","1","1","P72","EC0002032;EC0002035;EC0002036;EC000761;EC00082;EC000444"
"Aminosugars metabolism","69","34","25","31.113","0.52275","0.62091","0.034219","0","0","1","1","1","P73","EC00034;EC00035;EC000360;EC000361;EC000362;EC000363;EC00033;EC000167;EC000176;EC000177;EC000178;EC00073;EC000106;EC000394;EC0001380;EC000311;EC000312;EC00061;EC00062;EC00063;EC00072;EC00022;EC00023;EC000386;EC00086;EC00090;EC0001448;EC0001449;EC0001092"
"Mono-unsaturated fatty acid beta-oxidation","19","5","3","4.0146","0.55437","0.80185","0.038266","0","0","1","1","1","P74","EC00024;EC00022;EC00028;EC00030"
"Vitamin B6 (pyridoxine) metabolism","11","7","5","7.5274","0.58984","0.77198","0.043494","100","1","1","1","1","P75","EC000290;EC000292;EC000539;EC000341;EC000342;EC000593;EC000682"
