"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Phenylalanine metabolism","8","8","8","8.7502","0.2073","0.34547","0.048832","100","1","1","1","1","P11","EC000480;EC00078;EC00079;EC000955;EC000956;EC000190;EC000877;EC000504;EC00081;EC00082;EC00083"
"Lysine degradation","21","14","10","14.457","0.22223","0.33014","0.050645","100","1","1","1","1","P12","EC00035;EC00036;EC000415;EC000417;EC000418;EC000815;EC000600;EC000602;EC000302;EC000303;EC0001422;EC0001338;EC000376;EC000377;EC000378;EC000883;EC000684"
"Steroid hormone biosynthesis","87","77","47","23.968","0.22265","0.30422","0.050696","0","0","1","1","1","P13","EC000976;EC000745;EC000902;EC000990;EC000459;EC000904;EC000452;EC000453;EC000531;EC000532;EC000379;EC000991;EC000992;EC000995;EC000424;EC000592;EC000593;EC000944;EC000951;EC000952;EC000892;EC0001354;EC000996;EC0001353;EC0001195;EC0001196;EC0001000"
"Drug metabolism - cytochrome P450","43","30","19","19.403","0.24208","0.33744","0.053171","0","0","1","1","1","P14","EC0001314;EC0001299;EC0001301;EC0001302;EC0001303;EC0001171;EC0001332;EC0001282;EC0001287;EC0001182;EC0001184;EC0001185;EC0001310;EC0001311;EC0001312;EC0001292;EC0001035;EC0001036;EC0001305;EC0001306;EC0001309;EC0001333"
"Porphyrin metabolism","29","10","7","7.2284","0.25386","0.42055","0.054735","0","0","1","1","1","P15","EC0001151;EC000443;EC000444;EC000635;EC000582;EC000583;EC000397;EC000399;EC00020"
"Terpenoid backbone biosynthesis","14","7","6","6.4675","0.28222","0.46546","0.058718","0","0","1","1","1","P16","EC000385;EC000386;EC000388;EC000649;EC000640;EC000328;EC0001375;EC000846"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","2","4.9458","0.35347","0.57466","0.070236","100","1","1","1","1","P17","EC000185;EC000186;EC000187;EC00081;EC00082;EC00083"
"Steroid biosynthesis","40","33","11","9.8915","0.37561","0.53249","0.074319","0","0","1","1","1","P18","EC000709;EC000710;EC000931;EC000933;EC000935;EC000725;EC000726;EC000842;EC000937;EC0001343;EC0001345"
"Phosphonate and phosphinate metabolism","4","2","2","2.2827","0.40459","0.72574","0.080079","0","0","1","1","1","P19","EC0001148;EC0001061;EC0001062"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","3","5.3262","0.43726","0.65222","0.087197","100","1","1","1","1","P20","EC000190;EC00078;EC00079;EC00081;EC00082;EC00083"
"Biosynthesis of unsaturated fatty acids","36","22","9","13.315","0.44362","0.58025","0.088666","0","0","1","1","1","P21","EC000770;EC000252;EC000530;EC000718;EC000719;EC000720;EC000721;EC000228;EC000229;EC000230;EC000833;EC0001146;EC0001147;EC0001144"
"Pentose phosphate pathway","23","23","16","19.403","0.4537","0.56647","0.091054","100","1","1","1","1","P22","EC000735;EC000524;EC000127;EC000137;EC000138;EC000119;EC000120;EC000121;EC000122;EC000965;EC000966;EC000341;EC000673;EC000216;EC000266;EC000753;EC000754;EC000755;EC000756;EC000132"
"Inositol phosphate metabolism","21","19","13","9.5111","0.474","0.63494","0.096093","0","0","1","1","1","P23","EC000676;EC000678;EC000688;EC000341;EC000692;EC000119;EC000120;EC000121;EC000122;EC000212"
"Alanine, aspartate and glutamate metabolism","28","27","19","25.87","0.49857","0.59528","0.10264","100","1","1","1","1","P24","EC000623;EC00038;EC00039;EC000175;EC000837;EC000838;EC000839;EC00028;EC000114;EC00020;EC000322;EC00058;EC000587;EC000588;EC000859;EC000861;EC0001216;EC0001217;EC0001218;EC0001383;EC00027;EC000139;EC000403;EC000404;EC00032;EC000340"
"Tryptophan metabolism","41","35","24","31.957","0.49932","0.58595","0.10285","100","1","1","1","1","P25","EC00076;EC00077;EC000538;EC000539;EC0001035;EC0001036;EC0001038;EC0001040;EC000507;EC000508;EC000807;EC000302;EC000303;EC000885;EC000887;EC000898;EC000900;EC000493;EC000312;EC000313;EC0001053;EC000496;EC0001052;EC000596;EC000375;EC0001045;EC0001046;EC0001056;EC0001059;EC000111;EC0001048;EC0001133"
"Glycerophospholipid metabolism","13","9","6","11.794","0.51425","0.65702","0.10709","100","1","1","1","1","P26","EC000119;EC000120;EC000121;EC000122;EC000294;EC000295;EC000478;EC000333;EC000337;EC00095;EC000470;EC000471"
"Fatty acid biosynthesis","9","7","5","6.848","0.54176","0.72385","0.11547","100","1","1","1","1","P27","EC000252;EC000194;EC000802;EC000804;EC000714;EC000717;EC0001135"
"Pyruvate metabolism","20","12","7","6.848","0.54176","0.72385","0.11547","100","1","1","1","1","P28","EC00027;EC000206;EC000173;EC0001116;EC000233;EC000234;EC000139"
