"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Parathio degradation","6","2","2","2.345","0.81106","0.97845","0.10895","100","1","1","1","1","P83","EC0001503;EC000691"
"Benzoate degradation via CoA ligation","4","1","1","2.345","0.81106","0.97845","0.10895","0","0","1","1","1","P84","EC000189;EC000190"
"Vitamin B12 (cyanocobalamin) metabolism","9","2","2","2.345","0.81106","0.97845","0.10895","95","0.95","1","1","1","P85","EC00032;EC00026"
"Purine metabolism","80","60","51","89.891","0.83332","0.8777","0.1213","100","1","1","1","1","P86","EC000402;EC000403;EC00034;EC00035;EC00028;EC00031;EC000396;EC000398;EC00059;EC000185;EC000186;EC000187;EC000715;EC0001191;EC0001192;EC0001146;EC000252;EC000253;EC000254;EC000256;EC000761;EC000159;EC000558;EC000192;EC0001190;EC000847;EC000848;EC000849;EC000548;EC000551;EC000553;EC0001584;EC000171;EC000862;EC000272;EC000160;EC000161;EC000919;EC000920;EC000921;EC000322;EC000323;EC000324;EC00041;EC0001073;EC000880;EC000153;EC000154;EC00086;EC000169;EC0001477;EC0001478;EC000924;EC0001205;EC0001166;EC0001216;EC0001217;EC000278;EC000279;EC000148;EC000150;EC000304;EC000305;EC000421;EC000422;EC000319;EC000629;EC000617;EC00073;EC00074;EC00075;EC000414;EC000416;EC000417;EC00033;EC00052;EC00054;EC0001142;EC00082"
"Nucleotide Sugar Metabolism","7","5","3","8.5982","0.83574","0.94404","0.12276","0","0","1","1","1","P87","EC000103;EC000104;EC000105;EC000106;EC000680;EC000241;EC000242"
"Ubiquinone Biosynthesis","10","8","8","17.978","0.83804","0.92208","0.12418","100","1","1","1","1","P88","EC00022;EC000430;EC000431;EC000432;EC000433;EC00032;EC00028;EC00031;EC000806;EC00026;EC000208;EC000209;EC000210;EC000214;EC000215"
"Mono-unsaturated fatty acid beta-oxidation","19","5","4","6.2533","0.84404","0.9574","0.128","0","0","1","1","1","P89","EC00024;EC00022;EC0001677;EC00028;EC00031"
"Fatty acid oxidation, peroxisome","28","6","4","6.2533","0.84404","0.9574","0.128","100","1","1","1","1","P90","EC00036;EC00022;EC000206;EC00045;EC00047"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","22","21","32.048","0.86142","0.92124","0.14011","100","1","1","1","1","P91","EC000166;EC000301;EC000302;EC000247;EC000249;EC000761;EC0001001;EC000641;EC00055;EC00056;EC00057;EC000578;EC000580;EC000243;EC000962;EC000964;EC000965;EC000948;EC0001277;EC0001276;EC00082;EC0002047;EC000213;EC000667;EC000444;EC000904;EC000949"
"Vitamin B2 (riboflavin) metabolism","8","5","5","12.507","0.8729","0.95064","0.14912","0","0","1","1","1","P92","EC00028;EC00031;EC00024;EC000297;EC000298;EC000299;EC00066;EC00067;EC00068;EC000933"
"C21-steroid hormone biosynthesis and metabolism","112","79","65","51.589","0.87517","0.92065","0.15101","0","0","1","1","1","P93","EC0001113;EC0001298;EC0001299;EC0001300;EC000541;EC000542;EC0001295;EC000960;EC0001293;EC00023;EC000720;EC000721;EC0001281;EC0001282;EC0001283;EC0001284;EC0003;EC000642;EC000643;EC000534;EC000535;EC0001245;EC000647;EC0001564;EC000493;EC0001294;EC0001296;EC0001297;EC0002110;EC0002111;EC000503;EC00011;EC0001280;EC0001288;EC0001186;EC0001187;EC0002097;EC000238;EC0001303;EC0001304;EC0001305;EC00059;EC000944;EC00064"
"Hexose phosphorylation","20","18","17","26.576","0.87833","0.93617","0.15371","100","1","1","1","1","P94","EC00039;EC0001404;EC000360;EC000361;EC000362;EC000363;EC000103;EC000105;EC000106;EC000104;EC000171;EC000108;EC000109;EC000111;EC000214;EC000215;EC000664;EC000666;EC000778;EC000384;EC000385;EC000386"
"Xenobiotics metabolism","110","55","46","56.279","0.88315","0.92478","0.15798","100","1","1","1","1","P95","EC0001417;EC0001418;EC00059;EC000673;EC00055;EC00056;EC00057;EC00023;EC0009;EC0001021;EC0001022;EC0001629;EC0001628;EC000691;EC0001631;EC0001494;EC0001495;EC000288;EC000289;EC0001632;EC0001613;EC0001565;EC0001566;EC0001580;EC0001065;EC0001624;EC0001625;EC000601;EC000603;EC0001626;EC0001634;EC0001633;EC0001029;EC0001030;EC0001032;EC0001635;EC0001637;EC0001638;EC0001639;EC0001640;EC0001644;EC0001645;EC0001483;EC0001484;EC0001648;EC0001647;EC000845;EC0001609"
"Carbon fixation","10","10","10","21.105","0.89924","0.95295","0.17379","100","1","1","1","1","P96","EC00042;EC000103;EC000104;EC000105;EC000106;EC000141;EC000142;EC000315;EC00033;EC000387;EC000388;EC00086;EC000148;EC000149;EC000150;EC00052;EC00054"
"Omega-3 fatty acid metabolism","39","15","8","18.76","0.89938","0.95523","0.17394","0","0","1","1","1","P97","EC00028;EC00031;EC0001669;EC0001670;EC0001671;EC0001672;EC0001673;EC0001213;EC0001214;EC0001215;EC00022;EC0001496;EC0001497;EC0001677;EC0001687"
"D4&E4-neuroprostanes formation","37","26","26","9.3799","0.91433","0.97438","0.19129","100","1","1","1","1","P98","EC0002032;EC0002033;EC0002035;EC0002036;EC000761;EC00082;EC000444"
"Polyunsaturated fatty acid biosynthesis","21","4","4","7.0349","0.92619","0.98277","0.20745","0","0","1","1","1","P99","EC00022;EC000524;EC0001687;EC000876;EC000878"
"Di-unsaturated fatty acid beta-oxidation","26","10","6","13.288","0.92945","0.9752","0.21236","0","0","1","1","1","P100","EC00028;EC00031;EC00022;EC000951;EC0001829;EC00024;EC000890;EC000891;EC000892;EC000893"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","23","17","13.288","0.92945","0.9752","0.21236","0","0","1","1","1","P101","EC0001933;EC0001934;EC0001940;EC0001946;EC0001947;EC0001948;EC0001938;EC00022;EC0001935;EC0001941"
"Glyoxylate and Dicarboxylate Metabolism","12","7","6","13.288","0.92945","0.9752","0.21236","100","1","1","1","1","P102","EC000141;EC000142;EC000244;EC000246;EC000303;EC000159;EC000219;EC000739;EC000740;EC000741"
"Drug metabolism - other enzymes","31","17","14","23.45","0.95192","0.97918","0.25391","100","1","1","1","1","P103","EC0001574;EC0001733;EC0001734;EC0001735;EC0001736;EC0001729;EC0001728;EC0001529;EC0001530;EC0001531;EC0001725;EC0001727;EC0001570;EC0001160;EC0001582;EC0001738;EC0001506;EC0001507"
"Vitamin H (biotin) metabolism","5","4","3","10.162","0.95793","0.9888","0.26822","0","0","1","1","1","P104","EC00050;EC00051;EC00028;EC00031;EC0001419;EC0001421;EC0001422"
"CoA Catabolism","7","6","4","10.162","0.95793","0.9888","0.26822","0","0","1","1","1","P105","EC00022;EC00028;EC00031;EC000675;EC000676;EC000688;EC000689"
"Pentose phosphate pathway","37","35","35","46.118","0.9791","0.98934","0.34088","100","1","1","1","1","P106","EC000159;EC000316;EC000317;EC000318;EC000376;EC000378;EC000926;EC000148;EC000150;EC00028;EC00031;EC000956;EC000149;EC000301;EC000302;EC000247;EC000249;EC000103;EC000104;EC000105;EC000106;EC0001593;EC000384;EC000385;EC000386;EC000141;EC000142;EC000153;EC000154;EC000315;EC000480;EC000825;EC00039;EC000629;EC000335;EC000336"
"Omega-6 fatty acid metabolism","55","13","8","15.633","0.99084","0.99751","0.4197","0","0","1","1","1","P107","EC00028;EC00031;EC000976;EC0001677;EC000951;EC000261;EC000262;EC000263;EC0001687;EC00022"
"Caffeine metabolism","11","10","7","11.725","0.99811","0.99969","0.54734","100","1","1","1","1","P108","EC00039;EC0001683;EC0001684;EC0001679;EC0001680;EC0001678"
"Tryptophan metabolism","94","66","58","115.69","0.99876","0.99929","0.57625","100","1","1","1","1","P109","EC00034;EC00035;EC00036;EC00032;EC00028;EC00031;EC0001361;EC000356;EC000357;EC000358;EC0001362;EC0001758;EC0001360;EC000651;EC000652;EC0001365;EC0001366;EC00022;EC00024;EC00026;EC000992;EC000993;EC0001651;EC0001652;EC0001373;EC0001034;EC0001374;EC0001375;EC0001377;EC000429;EC000612;EC000613;EC000614;EC000972;EC00093;EC00094;EC00095;EC0001151;EC0001152;EC0002004;EC000845;EC000990;EC000991;EC000132;EC000133;EC000313;EC000314;EC0001766;EC0001768;EC0001771;EC000999;EC0001486;EC0001487;EC0001889;EC0001814;EC000914;EC0002025;EC000308;EC000310;EC0001816;EC0001899;EC000350;EC000351;EC0001167;EC0001170;EC00055;EC00056;EC00057;EC000364;EC000367;EC00039;EC0001143;EC0001144;EC0001145;EC0001354;EC0001355;EC0001351;EC0001352;EC000722;EC000724;EC000726;EC0001359;EC000294;EC000295;EC000296;EC000600;EC000601;EC000603;EC000895;EC00043;EC00044"
"Tyrosine metabolism","160","113","94","168.84","0.99987","0.99993","0.70471","100","1","1","1","1","P110","EC00036;EC00032;EC00028;EC00031;EC0001959;EC0001766;EC0001768;EC0001771;EC000929;EC0001781;EC000806;EC000657;EC000658;EC00034;EC00035;EC00033;EC000669;EC000670;EC00022;EC00023;EC00026;EC000611;EC0001873;EC0001651;EC0001652;EC000444;EC0001132;EC0001133;EC000759;EC000760;EC000753;EC0001004;EC0001006;EC0001151;EC0001152;EC00064;EC000341;EC000342;EC0001544;EC0001545;EC0001546;EC0002028;EC0001325;EC0001052;EC0001054;EC000121;EC000122;EC000123;EC0001955;EC00096;EC00097;EC00082;EC0001135;EC0001136;EC0001480;EC00099;EC000100;EC0001932;EC000995;EC000500;EC000501;EC000502;EC0001880;EC000214;EC000215;EC0001875;EC0001877;EC0001878;EC0001879;EC0001881;EC00073;EC00074;EC00075;EC000771;EC000866;EC000313;EC000314;EC0001322;EC0001339;EC0001341;EC0001343;EC0002087;EC000389;EC000391;EC000392;EC000393;EC0002109;EC000308;EC000310;EC0001551;EC0001553;EC0001601;EC0001602;EC0001603;EC000565;EC000567;EC000160;EC000161;EC000166;EC000887;EC000888;EC000889;EC0001373;EC000969;EC000970;EC0001329;EC0001330;EC0001333;EC0001334;EC0001336;EC00059;EC00055;EC00056;EC00057;EC000578;EC000580;EC0001872;EC0001347;EC0001349;EC0001762;EC000134;EC000135;EC000136;EC000137;EC000139;EC00043;EC00044;EC0001817;EC0001818;EC0001820;EC0001706;EC0001708;EC0001709"
