"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Drug metabolism - other enzymes","31","17","7","11.756","0.90309","0.95596","0.17592","100","1","1","1","1","P85","EC0001731;EC0001573;EC0001729;EC0001529;EC0001530;EC0001581;EC0001506;EC0001507"
"CoA Catabolism","7","6","3","5.0943","0.90339","0.97578","0.17625","0","0","1","1","1","P86","EC00028;EC000675;EC000689"
"Pentose phosphate pathway","37","35","23","23.12","0.91066","0.9479","0.18463","94","0.94","1","1","1","P87","EC000159;EC000316;EC000317;EC000148;EC00028;EC000956;EC000958;EC000247;EC000386;EC000140;EC000141;EC000142;EC000143;EC000153;EC000629;EC000335;EC000336"
"Purine metabolism","80","60","33","45.065","0.94912","0.96655","0.24537","100","1","1","1","1","P88","EC000402;EC00035;EC00028;EC000398;EC00059;EC0001748;EC000185;EC000186;EC000715;EC000254;EC000159;EC000558;EC0001190;EC000847;EC000548;EC000550;EC000160;EC000921;EC000323;EC00041;EC000153;EC000169;EC0001477;EC000924;EC0001205;EC0001166;EC000148;EC000421;EC000629;EC00074;EC000415;EC00053;EC00054;EC00082"
"Caffeine metabolism","11","10","2","5.8781","0.94935","0.98885","0.24584","100","1","1","1","1","P89","EC000958;EC0001683;EC0001684"
"Vitamin E metabolism","54","26","7","12.932","0.95147","0.98001","0.25043","0","0","1","1","1","P90","EC00028;EC0001971;EC0001972;EC0002048;EC000578;EC0002003;EC0001774;EC0001773"
"Vitamin B1 (thiamin) metabolism","20","11","3","7.4455","0.95292","0.98706","0.25368","100","1","1","1","1","P91","EC00028;EC000348;EC000349;EC000791"
"Pentose and Glucuronate Interconversions","15","15","9","7.4455","0.95292","0.98706","0.25368","100","1","1","1","1","P92","EC000127;EC000159;EC000243;EC000148"
"Carnitine shuttle","72","39","15","21.161","0.96136","0.98061","0.27472","0","0","1","1","1","P93","EC0002105;EC0001829;EC0002104;EC0002069;EC0001064;EC0002092;EC0002081;EC0002052;EC0002053;EC0002114;EC0002056;EC0002058;EC0002074;EC0002075"
"Hexose phosphorylation","20","18","6","13.324","0.96196","0.98482","0.27638","100","1","1","1","1","P94","EC000361;EC000362;EC000108;EC000109;EC000112;EC000215;EC000664;EC000386"
"Fatty acid oxidation, peroxisome","28","6","1","3.135","0.97272","1","0.31105","100","1","1","1","1","P95","EC00047"
"Starch and Sucrose Metabolism","33","21","8","12.54","0.97417","0.9908","0.31665","0","0","1","1","1","P96","EC000127;EC00037;EC0001858;EC000108;EC000109;EC000112;EC000637"
"Tyrosine metabolism","160","113","62","84.644","0.98052","0.98621","0.34509","100","1","1","1","1","P97","EC00032;EC00028;EC0001768;EC000657;EC000658;EC000660;EC00035;EC000670;EC000611;EC0001651;EC0001004;EC0001152;EC0001153;EC000341;EC0001546;EC0001547;EC000910;EC0001052;EC0001053;EC00096;EC00097;EC00082;EC0001135;EC0001326;EC00099;EC000100;EC000101;EC0001932;EC000501;EC000502;EC0001880;EC000215;EC0001877;EC00074;EC0001339;EC0001340;EC0002087;EC000389;EC0002109;EC0001552;EC0001553;EC0001601;EC000567;EC000160;EC000166;EC000888;EC0001371;EC000969;EC0001329;EC0001330;EC0001333;EC00059;EC00055;EC00056;EC00057;EC000578;EC0001872;EC0001344;EC0001345;EC000135;EC00043;EC0001817;EC0001818;EC0001819;EC0001711"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","10","4","10.189","0.98243","0.99511","0.35529","0","0","1","1","1","P98","EC00028;EC000144;EC000145;EC000689;EC000675"
"Selenoamino acid metabolism","35","16","7","13.715","0.9887","0.99633","0.39738","100","1","1","1","1","P99","EC00028;EC00076;EC000135;EC000254;EC0001385;EC000306;EC00043"
"Vitamin B6 (pyridoxine) metabolism","11","7","2","5.8781","0.98896","0.99884","0.39954","100","1","1","1","1","P100","EC000539;EC000341"
"Saturated fatty acids beta-oxidation","36","13","2","6.2699","0.99256","0.99926","0.43511","0","0","1","1","1","P101","EC0001064;EC000289"
"Nucleotide Sugar Metabolism","7","5","1","4.3106","0.99296","1","0.44002","0","0","1","1","1","P102","EC000681"
"Aminosugars metabolism","69","34","14","24.296","0.99336","0.99714","0.44509","100","1","1","1","1","P103","EC00035;EC000361;EC000362;EC000176;EC000178;EC00074;EC0001379;EC0001380;EC00061;EC00062;EC000386;EC0001448;EC00048;EC0001125"
