"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Sulfur metabolism","8","5","4","6.384","0.76879","0.93117","0.21676","0","0","1","1","1","P53","EC00048;EC000231;EC000232;EC000301;EC0001341;EC0001342"
"Glycerophospholipid metabolism","13","9","9","24.738","0.80474","0.89623","0.24626","100","1","1","1","1","P54","EC000122;EC000294;EC000295;EC000476;EC000478;EC000664;EC000665;EC000333;EC000334;EC000335;EC000337;EC00095;EC00096;EC000519;EC000520;EC000521;EC000522;EC000469;EC000470;EC000471;EC000472;EC000670;EC000672"
"Biosynthesis of unsaturated fatty acids","36","22","16","27.93","0.80807","0.89431","0.24929","0","0","1","1","1","P55","EC000448;EC000449;EC000865;EC000251;EC000252;EC000705;EC000706;EC000707;EC000529;EC000530;EC000718;EC000719;EC000720;EC000721;EC000228;EC000229;EC000230;EC000832;EC000833;EC0001141;EC0001142;EC0001146;EC0001147;EC0001143;EC0001144;EC000949"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","11.172","0.84247","0.94279","0.28412","100","1","1","1","1","P56","EC000189;EC000190;EC000191;EC00078;EC00079;EC00080;EC00081;EC00082;EC00083;EC000659"
"Drug metabolism - other enzymes","28","17","15","26.334","0.85676","0.92666","0.30088","0","0","1","1","1","P57","EC0001320;EC0001319;EC0001324;EC0001325;EC0001326;EC0001203;EC0001206;EC0001402;EC0001403;EC0001405;EC0001327;EC000894;EC000895;EC0001408;EC0001178;EC0001179;EC0001180;EC0001318;EC0001316;EC0001322;EC0001407;EC000257;EC000258;EC000259"
"Caffeine metabolism","10","10","7","10.374","0.87859","0.96041","0.32986","100","1","1","1","1","P58","EC0001165;EC00024;EC00025;EC0001273;EC0001167;EC0001168;EC0001169;EC0001274;EC0001275"
"Phosphonate and phosphinate metabolism","4","2","2","4.788","0.88537","0.97882","0.33985","100","1","1","1","1","P59","EC0001148;EC0001149;EC0001150;EC0001062"
"Selenocompound metabolism","16","5","4","4.788","0.88537","0.97882","0.33985","5","0.05","1","1","1","P60","EC0001063;EC0001064;EC00028;EC00029"
"Glycerolipid metabolism","7","6","6","9.576","0.91029","0.97415","0.38176","100","1","1","1","1","P61","EC00095;EC00096;EC000206;EC000266;EC000122;EC000213;EC000214;EC000215"
"Metabolism of xenobiotics by cytochrome P450","68","41","38","49.476","0.91144","0.94853","0.38393","100","1","1","1","1","P62","EC0001240;EC0001224;EC0001227;EC0001250;EC0001251;EC0001128;EC0001131;EC0001230;EC0001232;EC0001367;EC0001368;EC0001369;EC0001280;EC0001152;EC0001153;EC0001358;EC000558;EC0001222;EC0001242;EC0001243;EC0001245;EC0001252;EC0001239;EC0001246;EC0001247;EC0001228;EC0001248;EC000824;EC000825;EC000680;EC000681;EC000683;EC0001370;EC0001371;EC0001364;EC0001365;EC0001366;EC0001204;EC0001374;EC0001373;EC0001362;EC0001363;EC0001359;EC0001360;EC0001361"
"Fatty acid degradation","35","13","7","11.97","0.92224","0.97522","0.40558","0","0","1","1","1","P63","EC000798;EC000251;EC000252;EC000820;EC000821;EC000822;EC0007;EC000947;EC000948;EC000949"
"Fatty acid elongation","28","9","5","7.98","0.95866","0.99134","0.50365","0","0","1","1","1","P64","EC000949;EC000798;EC000948;EC000947;EC000251;EC000252"
"Nicotinate and nicotinamide metabolism","15","14","13","23.94","0.96279","0.98512","0.51872","100","1","1","1","1","P65","EC00037;EC00039;EC000567;EC000872;EC0001080;EC000666;EC000667;EC0002;EC000828;EC000178;EC000180;EC000181;EC000811;EC000812;EC0004;EC000257;EC000258;EC000259;EC0001082;EC0001084"
"Tryptophan metabolism","41","35","29","67.032","0.99445","0.99722","0.72956","100","1","1","1","1","P66","EC00075;EC00076;EC00077;EC000723;EC000538;EC000539;EC0001035;EC0001036;EC0001037;EC0001038;EC0001039;EC0001040;EC000507;EC000508;EC000509;EC000806;EC000807;EC000808;EC000304;EC000305;EC000885;EC000886;EC000887;EC000897;EC000900;EC000493;EC000310;EC000311;EC000495;EC000496;EC000498;EC0001051;EC0001052;EC000594;EC000595;EC000596;EC000598;EC000375;EC000318;EC000321;EC0001044;EC0001045;EC0001046;EC0001047;EC0001056;EC0001057;EC0001059;EC000768;EC000111;EC000112;EC0001043;EC0001048;EC000680;EC000681;EC000683;EC0001133;EC0001134"
"Lipoic acid metabolism","17","9","7","13.566","0.99619","0.99921","0.75918","100","1","1","1","1","P67","EC0001262;EC0001264;EC00018;EC00064;EC00021;EC000964;EC000304;EC000305;EC000161"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","3","10.374","0.99819","0.99974","0.80865","100","1","1","1","1","P68","EC000185;EC000186;EC000659;EC00081;EC00082;EC00083"
"Tyrosine metabolism","42","42","35","75.81","1","1","0.96976","100","1","1","1","1","P69","EC000544;EC000545;EC0001018;EC0001019;EC000296;EC000297;EC0001013;EC0001007;EC0001032;EC0001033;EC000874;EC000875;EC000504;EC0001014;EC0001015;EC0001024;EC0001025;EC000343;EC000344;EC000345;EC000346;EC000630;EC00081;EC00082;EC00083;EC000790;EC000619;EC000620;EC000659;EC000877;EC000878;EC000879;EC000430;EC000431;EC000432;EC0001010;EC000185;EC000186;EC0001021;EC000476;EC000478;EC000787;EC000788;EC00018;EC000139;EC000140;EC000113;EC000114;EC000115;EC000116;EC000118;EC000554;EC000555;EC000737;EC000491;EC000492;EC0001351"
