"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Folate biosynthesis","26","22","20","20.246","0.42351","0.58683","0.07808","0","0","1","1","1","P31","EC000381;EC000269;EC000270;EC000562;EC000563;EC0001096;EC0001094;EC0001095;EC00034;EC000928;EC000164;EC000165;EC000166;EC0001097;EC0001098;EC0001377;EC0001256;EC0001257;EC000828;EC0001378;EC0001401"
"Terpenoid backbone biosynthesis","14","7","6","12.292","0.43545","0.64218","0.080618","0","0","1","1","1","P32","EC000385;EC000386;EC000387;EC000388;EC000648;EC000649;EC000640;EC000641;EC000329;EC0001375;EC000844;EC000846;EC000847"
"Drug metabolism - other enzymes","28","17","15","23.861","0.51714","0.662","0.10081","0","0","1","1","1","P33","EC0001320;EC0001319;EC0001325;EC0001326;EC0001203;EC0001205;EC0001206;EC0001402;EC0001403;EC0001405;EC0001327;EC000894;EC000895;EC0001408;EC0001178;EC0001179;EC0001180;EC0001318;EC0001316;EC0001321;EC0001322;EC0001407;EC000257;EC000259"
"Porphyrin metabolism","29","10","8","13.738","0.52546","0.7107","0.10318","67","0.67","1","1","1","P34","EC000445;EC000634;EC000635;EC000582;EC000583;EC000584;EC000586;EC000397;EC000399;EC00019;EC00020;EC000433;EC0001066;EC0001397"
"Biosynthesis of unsaturated fatty acids","36","22","16","25.307","0.58001","0.71338","0.1205","0","0","1","1","1","P35","EC000865;EC000251;EC000252;EC000705;EC000706;EC000707;EC0001140;EC000529;EC000530;EC000718;EC000719;EC000720;EC000721;EC000228;EC000229;EC000230;EC000832;EC000833;EC0001141;EC0001142;EC0001146;EC0001147;EC0001143;EC0001144;EC000949"
"Fatty acid biosynthesis","9","7","6","13.015","0.58472","0.76242","0.12215","100","1","1","1","1","P36","EC000251;EC000252;EC000193;EC000194;EC0001137;EC0001138;EC0001139;EC000801;EC000802;EC000716;EC000717;EC0001135;EC0001136"
"Primary bile acid biosynthesis","46","32","30","32.537","0.58821","0.70585","0.1234","0","0","1","1","1","P37","EC000207;EC000863;EC000725;EC000709;EC000710;EC000712;EC000713;EC000976;EC000977;EC000978;EC000979;EC000975;EC000792;EC000794;EC000795;EC000247;EC000248;EC000981;EC0001343;EC0001345;EC000525;EC000983;EC000916;EC000918;EC000986;EC000987;EC000984;EC000985;EC0001346;EC0001348;EC000743;EC000744"
"Arginine and proline metabolism","35","33","30","49.168","0.61548","0.70918","0.13367","100","1","1","1","1","P38","EC00053;EC000475;EC000289;EC000290;EC000291;EC00073;EC00074;EC000647;EC000298;EC00011;EC000533;EC000322;EC000323;EC000324;EC000325;EC000377;EC000378;EC000615;EC000618;EC0001100;EC000739;EC000740;EC000741;EC000742;EC000397;EC000399;EC000169;EC000170;EC000171;EC000172;EC00019;EC00020;EC000834;EC0001103;EC000643;EC000644;EC000781;EC000201;EC000573;EC000574;EC000575;EC000813;EC000814;EC000815;EC000816;EC000859;EC000861;EC00018"
"Drug metabolism - cytochrome P450","43","30","25","36.876","0.61685","0.72414","0.13422","75","0.75","1","1","1","P39","EC000929;EC000930;EC0001181;EC0001315;EC0001294;EC0001296;EC0001297;EC0001300;EC0001301;EC0001302;EC0001304;EC0001332;EC0001281;EC0001282;EC0001287;EC0001288;EC0001284;EC0001286;EC0001182;EC0001183;EC0001184;EC0001185;EC0001310;EC0001312;EC0001292;EC0001293;EC0001035;EC0001036;EC0001037;EC0001305;EC0001306;EC000703;EC000704;EC0001309;EC0001330;EC0001333"
"Glycolysis or Gluconeogenesis","23","19","18","19.522","0.63788","0.77656","0.14292","100","1","1","1","1","P40","EC00064;EC00018;EC000206;EC00068;EC00069;EC00070;EC000213;EC000214;EC000215;EC000122;EC000341;EC00086;EC00087;EC00088;EC00023;EC00024;EC00027;EC000240;EC000241"
"Phenylalanine metabolism","8","8","8","16.63","0.67273","0.81229","0.15896","100","1","1","1","1","P41","EC000480;EC000482;EC00078;EC00079;EC00080;EC000955;EC000956;EC000957;EC000189;EC000190;EC000191;EC000877;EC000878;EC000504;EC00081;EC00082"
