"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Heparan sulfate degradation","34","7","7","8.3273","0.28893","0.58172","0.016299","100","1","1","1","1","P42","EC000176;EC000177;EC000178;EC00039;EC00040;EC000243;EC00064;EC00022;EC000159"
"Bile acid biosynthesis","82","51","51","47.465","0.30481","0.42287","0.017137","0","0","1","1","1","P43","EC0001113;EC0001291;EC0001292;EC0001754;EC0001755;EC0001756;EC0001280;EC0001281;EC0001282;EC0001283;EC0001284;EC0001286;EC0001202;EC0001204;EC000860;EC000861;EC000939;EC000940;EC0001289;EC0001290;EC0001148;EC00028;EC00030;EC00022;EC00024;EC0001288;EC000906;EC000881;EC000882;EC000883;EC000884;EC000885;EC000631;EC0001742;EC0001744;EC000280;EC000281;EC0001745;EC0001747;EC0001008;EC0001009;EC0001010;EC0001011;EC0001018;EC0001019;EC000238"
"Glycerophospholipid metabolism","156","50","44","89.102","0.30585","0.38948","0.017193","0","0","1","1","1","P44","EC00032;EC0001159;EC0001269;EC0001270;EC0001271;EC0001272;EC000818;EC000819;EC000810;EC000811;EC0001463;EC0001464;EC0001074;EC00022;EC00026;EC000211;EC000212;EC0001211;EC00033;EC000822;EC000824;EC000450;EC0001206;EC0001207;EC0001208;EC0001209;EC000339;EC000340;EC0001189;EC0001165;EC000303;EC000345;EC000346;EC000115;EC000116;EC0001044;EC0001496;EC0001497;EC0001380;EC000624;EC000625;EC000626;EC000627;EC000565;EC000567;EC000379;EC000380;EC000381;EC000383;EC00072;EC00076;EC00077;EC00078;EC00079;EC00039;EC00040;EC000236;EC000554;EC000555;EC000556;EC000557;EC000825;EC000142;EC000103;EC000104;EC000105;EC000106;EC000107;EC000679;EC000238;EC000890;EC000891;EC000892;EC000893;EC00060;EC00061;EC00062;EC00063;EC0001659;EC0001657;EC0001658;EC000261;EC000262;EC000263;EC00038"
"Porphyrin metabolism","43","14","14","24.149","0.30796","0.47815","0.017308","89","0.89","1","1","1","P45","EC000763;EC000764;EC000766;EC000459;EC000461;EC000243;EC00022;EC00023;EC00024;EC00082;EC0001388;EC000707;EC000708;EC000709;EC000711;EC000773;EC000774;EC000516;EC000517;EC000518;EC000444;EC000445;EC000217;EC000503"
"Vitamin E metabolism","54","26","25","27.48","0.33103","0.4917","0.018625","0","0","1","1","1","P46","EC00028;EC00030;EC0001995;EC0001996;EC0001920;EC0001921;EC0001832;EC0001512;EC0001971;EC0001962;EC0001575;EC0001576;EC0001919;EC0001001;EC0002048;EC0002049;EC000578;EC000579;EC000580;EC00022;EC0001993;EC0001969;EC0001970;EC0001998;EC0002003;EC0001774;EC0001773"
"Alanine and Aspartate Metabolism","30","20","19","34.974","0.33821","0.48017","0.019056","100","1","1","1","1","P47","EC00034;EC00035;EC00036;EC00028;EC00030;EC00033;EC00069;EC00070;EC000160;EC000161;EC000713;EC000714;EC00073;EC00074;EC00075;EC000762;EC000763;EC000764;EC000766;EC00043;EC00044;EC00022;EC0001087;EC0001088;EC0001089;EC0001090;EC00042;EC000199;EC000200;EC000201;EC000354;EC000355;EC00052;EC00054"
"Arginine and Proline Metabolism","45","35","34","57.458","0.3457","0.45517","0.019519","100","1","1","1","1","P48","EC00034;EC00035;EC000193;EC000194;EC000195;EC000196;EC00036;EC00033;EC00069;EC00070;EC000354;EC000355;EC0001109;EC00042;EC0001055;EC0001056;EC0001057;EC0001058;EC000784;EC000785;EC0001432;EC0001111;EC000222;EC00083;EC00085;EC000547;EC000227;EC0001087;EC0001088;EC0001089;EC0001090;EC000160;EC000161;EC00022;EC00024;EC00026;EC000172;EC000192;EC000794;EC000934;EC000936;EC000937;EC000459;EC000461;EC00045;EC00047;EC00073;EC00074;EC00075;EC00052;EC00054;EC0001430;EC0001431;EC000438;EC000439"
"Chondroitin sulfate degradation","37","6","6","7.4945","0.34778","0.65258","0.019649","100","1","1","1","1","P49","EC00039;EC00040;EC000243;EC00064;EC000178;EC000176;EC000177;EC000159"
"Proteoglycan biosynthesis","27","9","8","7.4945","0.34778","0.65258","0.019649","0","0","1","1","1","P50","EC00048;EC00059;EC000217;EC00037;EC00023;EC000599;EC000241;EC000242"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","19","4","4","3.3309","0.34942","0.76925","0.019753","0","0","1","1","1","P51","EC00022;EC00024;EC0001906;EC0001907"
