"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Alanine and Aspartate Metabolism","30","20","10","12.672","0.051129","0.094529","0.0075056","100","1","1","1","0.7054944","P11","EC00034;EC00035;EC00028;EC00069;EC00070;EC00073;EC00074;EC0001087;EC0001088;EC0001089;EC0001090;EC00042;EC000201;EC000354;EC000355;EC00052;EC00054"
"Aspartate and asparagine metabolism","114","73","47","41.034","0.068007","0.094702","0.0078952","100","1","1","1","0.7184632","P12","EC00034;EC00035;EC00028;EC000196;EC0001764;EC000459;EC000135;EC0001401;EC000201;EC000828;EC0001083;EC000936;EC000934;EC0001778;EC0001130;EC000343;EC000547;EC000121;EC000122;EC000368;EC000369;EC00052;EC00054;EC0001429;EC000438;EC00069;EC00070;EC00073;EC00074;EC0001182;EC0001184;EC000620;EC000622;EC0001753;EC000744;EC000775;EC000776;EC000644;EC0001096;EC000354;EC000355;EC000767;EC0001038;EC00042;EC000172;EC00050"
"Chondroitin sulfate degradation","37","6","5","2.7155","0.074306","0.22167","0.0080461","78","0.78","1","1","0.724149","P13","EC00039;EC000243;EC000178;EC000176;EC000159"
"Carnitine shuttle","72","39","18","16.293","0.087775","0.14259","0.0083793","0","0","1","1","0.7457577","P14","EC0002105;EC0002098;EC0002100;EC0001829;EC0002090;EC0002068;EC0002069;EC0001062;EC0002091;EC0002083;EC000344;EC00019;EC0002052;EC0002053;EC0002112;EC0002114;EC0002101;EC0002058;EC0002073;EC0002074"
"Vitamin B6 (pyridoxine) metabolism","11","7","5","4.5258","0.093627","0.2163","0.0085286","100","1","1","1","0.7505168","P15","EC000290;EC000293;EC000538;EC000539;EC000341;EC000593;EC000682"
"Heparan sulfate degradation","34","7","5","3.0172","0.11555","0.2929","0.0091137","42","0.42","1","1","0.7928919","P16","EC000176;EC000178;EC00039;EC000243;EC000159"
"Arachidonic acid metabolism","95","60","48","17.801","0.11717","0.18028","0.0091588","0","0","1","1","0.7928919","P17","EC00034;EC00035;EC00028;EC000731;EC000732;EC000453;EC000604;EC000606;EC0001208;EC000211;EC0001834;EC0001831;EC0001496;EC0001497;EC0001794;EC000701;EC000702;EC0001807;EC0002077;EC000261;EC000263"
"Lysine metabolism","52","28","18","19.008","0.13091","0.19616","0.0095496","100","1","1","1","0.811716","P18","EC00034;EC00035;EC00032;EC00028;EC000348;EC000349;EC0001314;EC0001311;EC000560;EC000561;EC000344;EC00050;EC000810;EC000727;EC000728;EC000438;EC0001474;EC000483;EC00047;EC000817;EC0001141;EC000846"
"Putative anti-Inflammatory metabolites formation from EPA","27","24","20","6.9396","0.16329","0.29466","0.010543","0","0","1","1","0.885612","P19","EC00034;EC00035;EC0001794;EC0001892;EC0001893;EC0001807;EC0001831;EC0001195;EC0002042"
"Keratan sulfate degradation","68","8","4","4.2241","0.168","0.34475","0.010697","0","0","1","1","0.887851","P20","EC00039;EC000176;EC000178;EC0002084;EC000750;EC000751"
