"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine, alanine and threonine metabolism","88","51","38","57.322","0.53357","0.60638","0.036423","100","1","1","1","1","P56","EC00034;EC00035;EC00036;EC00032;EC00028;EC00033;EC000975;EC000368;EC000369;EC000371;EC00069;EC00024;EC00026;EC000207;EC0001788;EC0001099;EC000233;EC000236;EC000303;EC000474;EC000476;EC000477;EC000746;EC000748;EC0001910;EC0001911;EC000332;EC000333;EC000334;EC000459;EC000461;EC00091;EC000285;EC000286;EC000287;EC0001456;EC000219;EC00076;EC00077;EC000134;EC000136;EC000137;EC000138;EC000139;EC000560;EC000738;EC000740;EC000741;EC000239;EC000240;EC000244;EC000981;EC00044"
"Pyruvate Metabolism","20","10","8","7.2955","0.54901","0.74403","0.038453","100","1","1","1","1","P57","EC000197;EC000236;EC00033;EC00042;EC0001099;EC000141;EC000142"
"Glycosphingolipid biosynthesis - ganglioseries","62","19","12","15.112","0.56664","0.7043","0.040937","0","0","1","1","1","P58","EC00039;EC000435;EC0001466;EC00061;EC00062;EC00063;EC00037;EC00023;EC0001033;EC000178;EC000176;EC000599;EC0001470;EC0001223"
"Hyaluronan Metabolism","8","6","4","5.211","0.57629","0.79531","0.042375","0","0","1","1","1","P59","EC00023;EC000528;EC000176;EC000178;EC000243"
"Heparan sulfate degradation","34","7","5","5.211","0.57629","0.79531","0.042375","100","1","1","1","1","P60","EC000176;EC000178;EC00039;EC000243;EC000159"
"Alanine and Aspartate Metabolism","30","20","17","21.886","0.587","0.70042","0.044044","100","1","1","1","1","P61","EC00034;EC00035;EC00036;EC00028;EC00033;EC00069;EC000713;EC00073;EC000762;EC000763;EC00044;EC0001088;EC0001089;EC0001090;EC00042;EC000200;EC000201;EC000354;EC000355;EC00052"
"Drug metabolism - cytochrome P450","53","35","28","29.703","0.59801","0.69488","0.045842","0","0","1","1","1","P62","EC0001704;EC0001505;EC0001228;EC0001229;EC0001532;EC0001512;EC0001718;EC0001351;EC0001352;EC0001713;EC0001715;EC0001522;EC000874;EC0001537;EC0001533;EC0001699;EC0001700;EC0001696;EC0001697;EC0001698;EC0001523;EC0001524;EC0001526;EC0001693;EC0001739;EC0001510;EC0001511"
"Vitamin D3 (cholecalciferol) metabolism","16","13","10","9.901","0.61519","0.77364","0.048825","0","0","1","1","1","P63","EC000881;EC000882;EC000883;EC000906;EC000576;EC0001745;EC0001747;EC0001742;EC0001744"
"Pentose and Glucuronate Interconversions","15","15","12","9.901","0.61519","0.77364","0.048825","83","0.83","1","1","1","P64","EC000127;EC00023;EC000159;EC000243;EC000148;EC000150;EC000301;EC0001262;EC0001263"
"Biopterin metabolism","22","18","12","15.633","0.63382","0.75973","0.052332","0","0","1","1","1","P65","EC0001852;EC0001854;EC0001423;EC000313;EC0001227;EC0001074;EC0001853;EC00096;EC00097;EC00098;EC0001651;EC000308;EC00099;EC000100"
"Drug metabolism - other enzymes","31","17","12","15.633","0.63382","0.75973","0.052332","100","1","1","1","1","P66","EC0001730;EC0001573;EC0001574;EC0001734;EC0001736;EC0001729;EC0001728;EC0001530;EC0001531;EC0001725;EC0001582;EC0001738;EC0001506;EC0001507"
"Urea cycle/amino group metabolism","85","47","36","58.885","0.64158","0.70744","0.053882","100","1","1","1","1","P67","EC00034;EC00035;EC000193;EC000889;EC00032;EC000661;EC000662;EC000663;EC00069;EC000354;EC000355;EC0001109;EC0001057;EC0001171;EC0001174;EC0001194;EC000462;EC000500;EC000502;EC000591;EC000343;EC000547;EC000332;EC000333;EC000334;EC0001088;EC0001089;EC0001090;EC00044;EC00024;EC00026;EC000172;EC000368;EC000369;EC000371;EC000995;EC000548;EC00036;EC000278;EC000279;EC000459;EC000461;EC000873;EC0001083;EC000837;EC000838;EC000657;EC000658;EC000341;EC00052;EC00091;EC000438;EC000439"
"N-Glycan Degradation","16","7","5","7.8166","0.6435","0.812","0.054273","100","1","1","1","1","P68","EC00038;EC00039;EC000586;EC000176;EC000178;EC000750;EC000751"
"R Group Synthesis","7","4","2","2.0844","0.659","0.9275","0.057572","0","0","1","1","1","P69","EC00024;EC0001020"
"Arginine and Proline Metabolism","45","35","27","35.956","0.66137","0.74327","0.058099","100","1","1","1","1","P70","EC00034;EC00035;EC000193;EC00036;EC00033;EC00069;EC000354;EC000355;EC0001109;EC00042;EC0001057;EC000784;EC000785;EC0001432;EC000547;EC0001088;EC0001089;EC0001090;EC00024;EC00026;EC000172;EC000934;EC000936;EC000937;EC000459;EC000461;EC00047;EC00073;EC00052;EC0001431;EC000438;EC000439"
"Glycosphingolipid biosynthesis - lactoseries","14","7","3","5.7322","0.6822","0.86061","0.062988","0","0","1","1","1","P71","EC00023;EC00061;EC00062;EC00063;EC00037"
"Blood Group Biosynthesis","44","8","3","5.7322","0.6822","0.86061","0.062988","0","0","1","1","1","P72","EC00061;EC00062;EC00063;EC00023;EC00037"
"Glycosphingolipid biosynthesis - neolactoseries","16","8","3","5.7322","0.6822","0.86061","0.062988","0","0","1","1","1","P73","EC00023;EC00061;EC00062;EC00063;EC00037"
"Keratan sulfate biosynthesis","66","7","3","5.7322","0.6822","0.86061","0.062988","0","0","1","1","1","P74","EC00061;EC00062;EC00063;EC00023;EC00037"
"Aminosugars metabolism","69","34","21","32.308","0.72623","0.80305","0.075165","0","0","1","1","1","P75","EC00034;EC00035;EC000360;EC000363;EC00033;EC000176;EC000178;EC00073;EC000104;EC000105;EC000106;EC000107;EC000395;EC000394;EC0001501;EC00061;EC00062;EC00063;EC00023;EC000384;EC000385;EC000386;EC00086;EC00090;EC0001448;EC0001449;EC0001450;EC000586"
"C5-Branched dibasic acid metabolism","10","6","3","3.6477","0.74188","0.92421","0.080221","100","1","1","1","1","P76","EC00033;EC000504;EC000506"
"Keratan sulfate degradation","68","8","4","7.2955","0.74521","0.88516","0.081352","100","1","1","1","1","P77","EC00039;EC000176;EC000178;EC00023;EC000750;EC000751"
"D4&E4-neuroprostanes formation","37","26","25","6.2533","0.76851","0.90718","0.089907","96","0.96","1","1","1","P78","EC0002032;EC0002033;EC0002036;EC00082;EC000444"
"Prostaglandin formation from arachidonate","78","54","39","31.787","0.7708","0.84015","0.09081","0","0","1","1","1","P79","EC000444;EC000452;EC000453;EC000454;EC0001437;EC0001438;EC000731;EC000732;EC000733;EC0001760;EC0001605;EC0001751;EC0001914;EC0001444;EC000604;EC000605;EC000606;EC000261;EC000262;EC000263;EC00028;EC0001440;EC0001443;EC00082;EC0001579;EC0001953;EC0001973"
"Di-unsaturated fatty acid beta-oxidation","26","10","4","8.8588","0.79293","0.90475","0.10023","0","0","1","1","1","P80","EC00028;EC0001829;EC00024;EC000890;EC000891;EC000892;EC000893"
"Mono-unsaturated fatty acid beta-oxidation","19","5","3","4.1688","0.82992","0.95587","0.11933","0","0","1","1","1","P81","EC00024;EC0001677;EC00028"
"Fatty acid oxidation","35","9","4","6.7744","0.83563","0.93937","0.12275","0","0","1","1","1","P82","EC0001020;EC00024;EC0001829;EC000430;EC000431"
"CoA Catabolism","7","6","4","6.7744","0.83563","0.93937","0.12275","0","0","1","1","1","P83","EC00028;EC000675;EC000676;EC000689;EC000694"
"Prostaglandin formation from dihomo gama-linoleic acid","11","6","3","6.7744","0.83563","0.93937","0.12275","0","0","1","1","1","P84","EC000604;EC000605;EC000606;EC0001834;EC0001751"
"TCA cycle","31","22","15","22.408","0.83759","0.90142","0.12395","97","0.97","1","1","1","P85","EC00080;EC000197;EC00036;EC0001257;EC000430;EC000431;EC00024;EC000427;EC000428;EC000560;EC000213;EC00042;EC00086;EC000285;EC000286;EC000287;EC00047;EC000444"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","22","17","21.365","0.84612","0.90871","0.12941","100","1","1","1","1","P86","EC000166;EC000301;EC000247;EC0001001;EC000578;EC000579;EC000243;EC000962;EC000964;EC000965;EC000948;EC0001277;EC00082;EC000213;EC000667;EC000444;EC000904"
"Parathio degradation","6","2","1","1.5633","0.86058","1","0.13952","100","1","1","1","1","P87","EC000691"
